id,profile,relpath,old_title,new_title,new_filename,duration_s,bpm_pred,bpm_used,key_pred,key_conf,key_used
42,techno,Techno Samples (test)\HH 3.wav,HH 3,"HH 3, --, [ONE-SHOT] - 120BPM, Am, dark/driving","HH 3, --, [ONE-SHOT] - 120BPM, Am, dark-driving.wav",0.23147392290249433,120.18531976744185,120,Am,3.8276080012448177,Am
43,techno,Techno Samples (test)\HH 4.wav,HH 4,"HH 4, --, [LOOP] - 136BPM, C#m, dark/driving","HH 4, --, [LOOP] - 136BPM, C#m, dark-driving.wav",0.37961451247165534,271.9983552631579,136,C#m,3.7265664927219024,C#m
44,techno,Techno Samples (test)\HH 5.wav,HH 5,"HH 5, --, [ONE-SHOT] - 120BPM, Gm, dark/driving","HH 5, --, [ONE-SHOT] - 120BPM, Gm, dark-driving.wav",0.23147392290249433,120.18531976744185,120,Gm,3.7542520768551744,Gm
45,techno,Techno Samples (test)\HH 6.wav,HH 6,"HH 6, --, [LOOP] - 136BPM, Am, dark/driving","HH 6, --, [LOOP] - 136BPM, Am, dark-driving.wav",0.4398185941043084,271.9983552631579,136,Am,3.7431770722856488,Am
46,techno,Techno Samples (test)\HH 7.wav,HH 7,"HH 7, --, [LOOP] - 120BPM, G#m, dark/driving","HH 7, --, [LOOP] - 120BPM, G#m, dark-driving.wav",0.2314965986394558,120.18531976744185,120,G#m,3.8019034366924744,G#m
47,techno,Techno Samples (test)\HH 8.wav,HH 8,"HH 8, --, [ONE-SHOT] - 120BPM, Am, dark/driving","HH 8, --, [ONE-SHOT] - 120BPM, Am, dark-driving.wav",0.2323125,120.18531976744185,120,Am,3.7495347855727905,Am
48,techno,Techno Samples (test)\HH 9.wav,HH 9,"HH 9, --, [ONE-SHOT] - 120BPM, A#m, dark/driving","HH 9, --, [ONE-SHOT] - 120BPM, A#m, dark-driving.wav",0.19206349206349208,120.18531976744185,120,A#m,3.743555796684102,A#m
49,techno,Techno Samples (test)\HH 10.wav,HH 10,"HH 10, --, [ONE-SHOT] - 120BPM, A#m, dark/driving","HH 10, --, [ONE-SHOT] - 120BPM, A#m, dark-driving.wav",0.17746031746031746,120.18531976744185,120,A#m,3.8147744584018355,A#m
50,techno,Techno Samples (test)\HH 11.wav,HH 11,"HH 11, --, [ONE-SHOT] - 120BPM, Bm, dark/driving","HH 11, --, [ONE-SHOT] - 120BPM, Bm, dark-driving.wav",0.2592517006802721,120.18531976744185,120,Bm,3.7875066984192762,Bm
51,techno,Techno Samples (test)\HH 12.wav,HH 12,"HH 12, --, [LOOP] - 120BPM, Am, dark/driving","HH 12, --, [LOOP] - 120BPM, Am, dark-driving.wav",0.101859410430839,120.18531976744185,120,Am,3.819811695513184,Am
52,techno,Techno Samples (test)\HH 13.wav,HH 13,"HH 13, --, [LOOP] - 144BPM, Am, dark/driving","HH 13, --, [LOOP] - 144BPM, Am, dark-driving.wav",6.666485260770975,143.5546875,144,Am,3.8191880229035013,Am
53,techno,Techno Samples (test)\Selee Loop_HH+ - Part_1.wav,Selee Loop_HH+ - Part_1,"Selee Loop_HH+, --, [LOOP] - 120BPM, Am, dark/driving","Selee Loop_HH+, --, [LOOP] - 120BPM, Am, dark-driving.wav",0.11904761904761904,120.18531976744185,120,Am,3.79423419199514,Am
54,techno,Techno Samples (test)\umt_hat_808.wav,umt_hat_808,"umt_hat_808, --, [ONE-SHOT] - 120BPM, Bm, dark/driving","umt_hat_808, --, [ONE-SHOT] - 120BPM, Bm, dark-driving.wav",0.14417233560090703,120.18531976744185,120,Bm,3.816336358519882,Bm
55,film_scoring,Cinematic Samples (test)\African Singer shake it shake it.wav,African Singer shake it shake it,"African Singer shake it shake it, --, [LOOP] - 167BPM, Fm, cinematic/tense","African Singer shake it shake it, --, [LOOP] - 167BPM, Fm, cinematic-tense.wav",60.96,166.70866935483872,167,Fm,3.74297562331276,Fm
56,film_scoring,Cinematic Samples (test)\Aku Aku.wav,Aku Aku,"Aku Aku, --, [LOOP] - 235BPM, A#m, cinematic/tense","Aku Aku, --, [LOOP] - 235BPM, A#m, cinematic-tense.wav",2.3039909297052152,234.90767045454547,235,A#m,3.773279615659866,A#m
57,film_scoring,Cinematic Samples (test)\Atmos - Creapy 1.wav,Atmos - Creapy 1,"Atmos, --, [LOOP] - 178BPM, G#m, cinematic/tense","Atmos, --, [LOOP] - 178BPM, G#m, cinematic-tense.wav",13.521133786848072,178.20581896551724,178,G#m,4.444612191162141,G#m
58,film_scoring,Cinematic Samples (test)\Atmos - Hornissen Sturzflug.wav,Atmos - Hornissen Sturzflug,"Atmos, --, [LOOP] - 80BPM, Fm, cinematic/tense","Atmos, --, [LOOP] - 80BPM, Fm, cinematic-tense.wav",13.521133786848072,79.50721153846153,80,Fm,3.935788157056577,Fm
59,film_scoring,Cinematic Samples (test)\Bass_shot_Jannek Büngener.wav,Bass_shot_Jannek Büngener,"Bass_shot_Jannek Büngener, --, [FX] - 304BPM, Am, cinematic/tense","Bass_shot_Jannek Büngener, --, [FX] - 304BPM, Am, cinematic-tense.wav",0.9570294784580499,303.99816176470586,304,Am,3.832245444385988,Am
60,film_scoring,Cinematic Samples (test)\Heatshot.wav,Heatshot,"Heatshot, --, [LOOP] - 161BPM, C#m, cinematic/tense","Heatshot, --, [LOOP] - 161BPM, C#m, cinematic-tense.wav",5.21,161.4990234375,161,C#m,3.749100394684711,C#m
61,film_scoring,Cinematic Samples (test)\human race.wav,human race,"human race, --, [LOOP] - 152BPM, Cm, cinematic/tense","human race, --, [LOOP] - 152BPM, Cm, cinematic-tense.wav",10.13,151.99908088235293,152,Cm,3.7578946694018596,Cm
62,film_scoring,Cinematic Samples (test)\Kasse_Jannek Büngener.wav,Kasse_Jannek Büngener,"Kasse_Jannek Büngener, --, [LOOP] - 129BPM, Cm, cinematic/tense","Kasse_Jannek Büngener, --, [LOOP] - 129BPM, Cm, cinematic-tense.wav",46.86,129.19921875,129,Cm,3.7428023276567846,Cm
63,film_scoring,Cinematic Samples (test)\Kehlkopfgesang.wav,Kehlkopfgesang,"Kehlkopfgesang, --, [LOOP] - 120BPM, Bm, cinematic/tense","Kehlkopfgesang, --, [LOOP] - 120BPM, Bm, cinematic-tense.wav",50.91,120.18531976744185,120,Bm,4.104305883746896,Bm
64,film_scoring,Cinematic Samples (test)\MT_beep_Sound_Jannek Büngener.mp3,MT_beep_Sound_Jannek Büngener,"MT_beep_Sound_Jannek Büngener, --, [LOOP] - --BPM, Bm, cinematic/tense","MT_beep_Sound_Jannek Büngener, --, [LOOP] - --BPM, Bm, cinematic-tense.mp3",2.8564625850340137,0.0,0,Bm,5.252853791128067,Bm
65,film_scoring,Cinematic Samples (test)\natives.wav,natives,"natives, --, [LOOP] - 161BPM, Cm, cinematic/tense","natives, --, [LOOP] - 161BPM, Cm, cinematic-tense.wav",61.14,161.4990234375,161,Cm,3.7318774279140148,Cm
